clean,noisy
66,66
51,51
6,6
67,67
50,13
68,47
27,73
62,22
89,89
5,18
11,11
13,13
66,66
55,55
15,1
62,11
74,74
31,93
93,52
59,85
1,1
97,29
32,32
39,39
41,41
62,62
71,13
70,70
98,98
41,41
42,21
70,70
3,3
35,35
90,86
22,22
50,50
61,61
66,66
92,92
53,36
12,12
84,84
33,85
57,56
93,90
79,79
69,69
53,53
9,44
19,19
6,6
20,20
76,76
5,53
98,98
92,35
78,78
93,10
79,35
21,21
51,98
74,74
76,23
56,56
75,75
27,35
22,22
37,80
16,16
72,72
81,25
36,36
48,39
13,13
56,56
70,70
0,0
63,2
90,43
53,53
29,11
64,43
2,2
83,83
63,63
89,89
14,14
66,79
95,95
65,65
85,85
5,5
7,7
58,58
61,88
42,42
59,59
37,25
12,9
42,42
66,66
71,71
40,40
63,78
45,45
19,47
33,58
55,55
26,26
0,0
60,60
72,16
4,4
63,59
76,76
46,46
64,64
96,96
69,69
64,64
75,75
33,33
36,36
26,26
62,62
18,18
48,48
50,50
36,36
26,26
28,12
71,71
76,76
45,45
52,52
65,61
59,61
41,41
69,69
15,15
87,87
50,50
11,11
71,71
36,36
84,2
73,73
46,67
83,83
12,12
79,52
54,54
50,50
75,87
72,58
37,37
91,91
19,69
82,82
22,22
41,41
53,53
14,14
15,15
84,71
11,11
35,35
83,83
36,36
17,97
74,40
26,2
46,46
97,97
85,85
98,8
10,10
63,63
72,34
93,93
45,45
95,31
68,68
14,14
62,62
73,67
62,62
11,55
23,91
24,24
97,75
32,78
78,78
29,29
54,87
20,37
41,4
88,17
34,59
87,27
62,80
29,44
0,0
4,4
31,31
50,97
33,33
5,5
8,8
48,48
71,71
71,58
94,94
5,5
15,15
16,16
98,98
29,29
42,42
68,44
40,40
95,22
85,31
64,29
40,40
24,1
3,3
11,11
79,95
10,26
3,3
73,73
22,59
28,34
70,82
94,94
42,42
14,14
4,59
18,36
86,67
4,99
32,90
38,11
24,9
65,65
75,81
1,1
7,7
99,99
58,58
8,75
67,10
10,10
44,31
98,98
88,88
31,31
83,28
63,63
59,38
34,34
81,81
54,31
28,77
76,74
84,80
44,44
88,92
59,59
65,65
8,8
91,56
51,51
42,57
23,23
20,60
26,24
77,77
77,77
4,4
84,84
4,88
8,8
60,60
41,41
96,96
54,54
30,30
51,52
35,35
11,11
18,14
47,47
89,16
63,63
6,8
32,59
26,1
30,30
42,76
67,20
7,63
12,94
1,1
37,37
30,30
53,53
98,98
76,76
8,8
36,75
67,67
91,79
67,67
33,32
82,82
93,96
84,84
52,76
84,76
90,21
7,37
33,33
78,78
66,66
9,43
12,74
27,5
44,44
18,18
63,63
75,7
95,95
50,50
59,59
63,63
45,45
28,28
19,19
50,50
7,7
27,27
92,59
53,53
64,11
53,12
41,41
44,44
39,99
73,73
61,61
43,43
80,43
35,35
85,85
71,95
21,21
36,36
53,34
67,53
90,96
74,74
34,84
14,14
46,46
55,55
37,19
80,80
73,73
86,86
12,12
44,97
75,75
24,24
67,67
24,24
80,57
51,51
5,17
71,71
53,53
90,7
74,74
49,49
51,51
73,1
17,68
67,40
54,59
54,54
54,54
81,81
2,2
64,16
90,27
35,4
24,39
71,71
92,22
38,38
8,66
90,90
15,92
50,93
44,4
88,42
68,68
47,83
84,36
64,75
80,80
34,34
51,51
85,85
52,52
1,60
61,77
26,36
48,48
24,34
7,7
78,78
82,50
87,19
13,13
68,68
49,97
90,28
77,77
82,82
54,54
32,32
98,98
49,44
4,49
50,7
15,15
93,7
41,4
37,37
89,64
24,24
19,19
80,80
8,8
6,6
59,59
13,13
12,71
31,31
77,77
9,9
71,71
56,56
97,97
63,63
48,65
90,90
15,72
10,10
3,3
65,65
13,30
19,19
54,54
58,58
4,18
63,63
63,63
31,31
26,26
68,68
86,53
45,45
93,64
94,70
87,87
24,92
60,60
38,34
80,89
2,2
47,77
54,54
2,2
15,25
87,87
6,6
45,45
40,40
93,4
4,36
69,99
93,93
23,23
51,51
20,20
58,58
80,22
5,5
30,30
88,14
41,74
76,67
63,63
7,33
74,67
75,51
45,45
80,80
93,93
68,68
52,29
55,55
46,3
44,44
12,12
54,73
88,88
5,62
56,41
26,55
40,40
59,59
0,0
27,27
74,46
81,81
18,18
33,33
86,86
68,8
95,95
67,41
78,78
11,25
45,67
61,18
16,16
80,80
15,15
8,8
41,54
25,25
83,98
70,70
37,37
75,75
93,36
26,26
78,78
51,51
35,77
98,98
80,24
38,38
59,84
15,15
66,66
18,18
74,74
12,23
58,18
90,90
62,31
19,35
21,96
52,52
40,40
3,69
17,67
27,27
60,60
13,13
52,31
99,99
8,8
98,98
34,34
28,2
97,1
54,54
82,82
94,94
49,49
31,31
16,43
21,68
4,30
35,35
95,61
94,94
89,89
41,15
4,4
50,50
53,53
98,91
86,86
65,83
65,65
31,31
29,29
79,79
43,43
9,31
6,15
7,7
80,13
29,22
3,65
38,1
85,85
91,91
98,51
28,25
50,50
70,70
33,33
21,21
48,48
60,60
19,48
50,81
3,3
63,63
25,25
59,59
86,6
77,72
92,34
1,34
38,19
72,72
24,24
85,85
3,3
1,94
5,5
89,89
25,25
10,2
67,67
48,48
92,92
62,20
26,24
21,44
8,8
58,58
58,58
12,77
46,46
53,62
11,11
34,1
12,12
71,4
85,85
64,64
44,10
9,9
64,64
20,86
59,98
75,27
26,6
45,45
25,3
20,20
12,51
77,35
5,5
94,94
27,62
40,40
73,6
95,95
67,67
44,85
34,34
81,61
1,1
24,78
85,85
15,15
37,4
15,84
82,82
28,28
80,44
69,80
84,59
91,91
41,41
7,25
56,33
5,81
81,81
83,51
16,16
6,41
40,40
64,64
12,12
15,0
69,69
3,96
58,58
73,59
72,72
20,20
53,53
53,85
66,66
81,81
43,87
52,52
71,43
17,17
49,49
94,86
31,31
61,23
38,16
86,86
79,79
5,99
22,14
45,45
28,28
33,57
39,93
34,34
38,9
79,95
54,54
98,98
17,17
74,72
18,49
35,67
44,44
8,8
24,24
64,9
28,28
37,1
94,94
37,37
84,84
69,69
94,94
33,14
56,17
66,24
19,77
25,25
34,34
46,46
6,84
76,76
90,90
30,20
71,31
5,38
29,29
81,81
99,12
94,7
70,70
86,86
23,95
25,85
93,93
10,91
71,81
30,84
96,96
77,77
39,22
57,57
24,24
90,90
95,95
75,75
42,18
57,29
90,90
84,84
14,14
20,57
24,0
57,57
61,61
84,98
5,5
2,2
80,9
86,86
74,74
42,42
60,60
7,8
11,11
47,89
11,11
25,25
30,33
59,59
24,24
38,38
60,60
69,69
51,51
56,3
26,26
64,64
91,91
56,84
91,20
29,45
91,56
64,16
27,27
78,78
25,25
42,79
49,3
15,23
55,55
50,50
33,59
92,62
33,21
99,99
34,34
9,9
61,99
17,17
64,64
8,54
37,37
86,62
21,91
33,33
15,15
92,92
59,59
41,41
8,8
1,1
61,69
52,52
95,95
71,71
43,43
59,60
76,76
90,93
85,85
74,80
98,98
54,54
61,34
10,10
70,70
24,24
41,48
74,74
27,27
44,44
15,15
10,38
72,72
75,75
23,23
49,49
7,59
57,56
33,33
15,15
58,58
18,29
27,6
6,91
6,6
24,24
52,94
90,90
85,85
11,44
71,71
90,81
51,51
70,67
49,90
44,14
30,74
37,37
17,17
94,94
59,13
45,45
57,57
78,2
47,47
43,48
33,33
94,94
37,37
75,40
0,67
67,67
47,85
80,80
60,60
27,97
31,31
41,41
57,57
57,57
4,4
3,97
88,88
50,1
99,99
81,73
62,62
60,60
48,48
10,10
80,39
62,58
35,35
90,62
3,3
24,20
1,67
3,3
52,52
50,84
66,66
37,13
71,39
33,33
82,82
61,24
28,2
85,85
2,2
47,47
6,51
79,79
52,42
25,25
47,47
89,73
21,91
68,68
42,71
36,36
15,47
69,69
72,72
55,55
23,23
36,79
64,64
47,47
57,39
90,90
90,90
97,7
87,87
35,35
69,3
65,65
77,77
35,35
83,10
62,62
2,2
31,31
50,50
6,6
72,72
56,94
21,21
47,68
64,64
2,2
26,26
85,85
91,4
72,72
79,8
30,30
1,1
88,88
95,10
55,55
64,64
34,87
24,24
28,28
97,89
87,27
23,23
83,84
17,17
91,91
52,52
15,74
12,12
4,4
75,68
70,70
32,32
97,32
39,15
5,98
77,77
47,38
65,19
52,71
58,62
33,57
61,61
16,62
90,56
42,45
13,13
8,8
87,8
32,32
52,52
74,96
9,9
16,58
62,45
5,5
92,92
35,35
14,29
32,32
16,16
97,39
6,6
26,26
33,47
47,47
88,88
4,4
20,20
41,41
97,97
27,27
98,98
57,57
64,64
84,84
26,26
12,52
2,2
13,29
42,32
16,16
27,74
56,58
2,2
73,73
47,91
49,49
23,23
88,88
85,85
89,54
16,16
71,71
21,11
27,27
67,67
93,93
35,35
10,19
93,43
89,72
17,17
26,26
2,2
12,12
61,61
52,52
1,1
86,75
64,64
78,18
9,9
51,51
65,65
92,92
89,89
13,13
8,70
20,3
64,44
19,19
56,87
96,96
68,68
92,92
31,31
20,24
0,60
93,93
37,7
68,64
58,58
16,16
29,29
65,65
14,14
2,2
95,95
58,58
33,33
48,7
78,96
1,84
59,59
29,53
51,51
69,36
96,16
87,50
19,19
22,22
35,63
46,46
82,82
68,45
42,39
83,83
5,5
18,18
98,98
46,46
56,44
24,24
47,47
44,44
85,85
77,29
58,86
55,83
35,35
46,93
99,99
35,35
55,27
53,53
9,9
12,12
36,40
2,2
78,78
69,69
43,74
84,84
87,87
48,72
36,36
84,84
54,54
18,1
92,92
26,26
4,4
93,93
62,62
2,2
70,70
10,78
16,84
2,2
14,24
52,52
21,21
98,98
29,29
55,55
80,80
13,52
46,46
60,60
26,31
51,51
91,91
82,82
73,73
37,47
11,56
65,32
56,56
82,82
28,6
24,55
89,89
63,63
63,73
3,3
25,25
59,94
64,64
4,4
14,63
66,66
40,55
58,58
65,65
14,14
7,68
64,87
34,34
59,59
27,26
86,63
48,48
81,5
99,99
83,83
73,36
19,19
62,86
52,52
60,60
34,34
41,58
36,36
25,95
21,67
90,90
85,85
51,51
24,52
17,17
3,3
9,31
75,75
48,84
48,20
52,52
21,21
32,91
34,34
99,99
28,97
92,92
67,67
5,5
16,16
25,25
79,79
66,66
0,84
47,4
7,7
65,65
44,63
13,13
17,17
11,46
71,71
31,10
10,10
40,55
13,45
46,69
1,18
51,51
3,51
77,77
86,86
45,74
80,87
59,59
56,56
86,86
18,80
16,16
69,69
6,6
26,26
87,87
2,2
8,8
11,72
85,44
84,84
31,31
36,36
46,37
6,68
86,86
75,75
20,20
25,95
36,36
57,66
53,53
95,20
98,65
95,34
95,56
55,55
58,58
21,25
87,87
32,6
90,35
37,37
69,69
42,7
63,63
84,84
93,93
30,30
47,47
72,8
28,28
80,3
94,94
46,98
23,23
85,85
41,41
2,2
91,82
22,22
60,39
41,33
96,96
52,52
78,65
36,36
20,20
73,33
67,7
50,54
93,93
37,52
31,31
40,40
91,12
30,30
50,56
33,33
25,54
35,35
70,70
89,89
0,0
37,31
10,10
8,8
28,52
79,79
55,55
70,70
92,86
3,3
76,76
57,33
35,97
63,63
47,48
32,94
27,92
11,95
60,60
62,62
66,66
81,81
33,43
33,33
97,10
92,92
89,8
98,98
79,99
8,8
98,98
5,5
96,55
83,83
73,57
77,28
57,90
89,89
38,38
85,84
68,68
73,73
47,47
23,23
24,24
6,6
99,20
41,41
1,1
18,18
0,47
10,40
21,21
40,77
61,61
46,70
81,81
94,94
64,64
22,22
93,72
36,36
99,99
4,4
31,31
29,29
93,8
53,6
71,2
96,43
78,53
82,99
22,98
7,7
87,87
64,64
69,69
74,73
99,36
67,67
81,81
63,63
85,85
64,2
94,94
7,7
40,40
8,42
7,7
30,89
31,31
14,27
40,80
73,73
27,27
86,52
9,46
71,71
83,5
65,65
38,24
66,66
28,28
46,11
64,42
49,49
14,14
14,14
84,84
14,14
17,17
31,31
37,44
12,3
84,84
66,66
2,2
21,21
40,40
85,43
56,89
97,97
70,55
85,85
43,43
35,35
85,16
55,70
7,25
57,57
40,82
85,52
19,19
53,53
98,74
61,48
22,22
39,53
39,39
85,85
62,62
1,4
75,75
49,53
71,71
85,97
32,60
85,85
40,40
21,21
45,45
3,3
63,63
35,94
32,93
27,27
23,23
49,49
37,37
86,74
49,49
10,10
30,69
55,67
50,50
3,3
54,54
92,92
73,73
23,88
94,94
71,81
69,69
9,28
1,1
22,22
53,53
37,37
66,66
56,56
37,7
31,31
97,93
99,99
69,69
79,87
49,49
81,81
0,0
49,49
31,31
38,27
41,42
12,41
11,65
20,20
50,50
51,26
36,66
84,84
77,99
73,26
47,47
92,92
89,89
27,27
79,79
71,93
33,33
96,96
64,64
37,17
44,44
51,52
59,67
45,45
73,73
11,11
49,49
62,58
48,4
69,16
94,40
43,43
39,39
28,28
62,62
30,30
28,28
64,59
85,85
41,41
52,52
94,94
17,17
39,39
40,40
63,63
90,7
51,18
61,61
98,90
36,14
48,48
57,57
70,26
80,80
65,97
34,34
73,3
67,56
56,56
66,22
80,80
68,52
83,83
43,59
57,57
87,9
21,37
61,83
28,50
66,67
42,42
27,35
40,40
10,10
14,14
47,61
5,5
83,50
26,46
38,38
60,60
53,53
83,20
2,15
86,30
60,60
78,33
7,7
85,85
66,66
96,16
55,55
49,24
76,64
38,38
80,87
32,14
24,24
44,44
1,1
21,21
19,19
57,57
49,40
79,12
43,83
5,5
84,84
81,81
86,86
53,53
3,3
51,51
34,14
46,46
45,67
80,82
7,7
10,77
43,43
60,60
41,41
28,58
96,96
88,88
23,23
20,20
58,58
53,79
15,15
98,63
47,47
86,86
52,42
30,30
35,67
88,88
21,56
53,53
28,55
19,19
73,73
78,78
3,3
30,71
38,11
36,74
87,11
55,55
5,56
11,11
83,83
3,32
62,18
11,11
65,93
37,67
85,85
90,90
23,23
4,86
54,54
54,54
74,28
50,62
18,18
18,18
58,28
80,80
25,57
26,61
46,46
14,83
51,51
7,75
49,2
73,88
29,29
66,66
33,33
55,55
68,54
66,28
52,52
57,40
19,18
24,24
38,38
55,33
44,44
3,26
70,70
85,85
63,63
72,99
29,1
40,40
70,70
78,9
42,42
43,50
47,47
13,21
32,32
26,27
91,91
41,6
51,35
46,46
80,72
14,14
90,31
26,37
56,26
12,12
74,84
44,44
94,94
92,72
78,78
87,87
50,42
99,99
32,83
67,38
94,22
21,51
53,62
7,68
40,33
48,60
0,0
28,32
15,15
22,47
50,81
36,36
44,44
34,34
70,70
12,73
20,20
30,90
42,42
61,80
91,91
66,66
60,60
5,27
6,6
27,27
77,58
32,32
66,66
91,59
61,61
48,48
27,27
28,78
64,97
70,70
59,59
0,0
69,85
64,64
44,53
32,91
38,54
0,0
33,0
71,71
45,28
30,73
82,82
96,96
82,82
96,96
67,67
94,94
31,11
3,55
64,64
41,60
96,51
80,80
18,18
21,54
15,15
18,48
33,33
10,10
18,18
55,8
94,34
58,40
70,70
99,99
32,32
38,38
58,58
30,30
35,35
75,36
68,68
94,94
72,22
62,62
44,44
40,40
25,25
27,27
78,32
76,31
4,4
27,9
22,22
35,35
80,27
20,38
11,18
94,27
26,26
1,1
87,87
18,18
42,42
43,43
81,81
89,89
48,97
8,8
10,10
4,4
33,33
80,48
20,20
51,51
23,23
31,31
94,94
23,25
91,91
73,48
49,49
33,33
71,71
87,87
16,16
79,79
43,43
84,25
6,24
66,66
29,29
28,28
96,96
54,54
13,50
20,70
69,69
72,65
78,78
58,58
63,45
99,17
73,73
51,95
86,5
97,56
96,96
78,78
0,0
91,91
54,54
71,71
16,16
51,92
58,58
9,82
34,77
6,58
38,38
36,59
46,46
20,20
13,13
20,1
77,77
62,62
16,97
88,88
87,87
57,7
97,97
45,45
1,1
77,95
83,83
47,82
2,2
41,41
68,8
18,5
75,75
38,38
70,70
38,38
16,16
96,96
92,92
57,57
88,41
95,95
61,61
57,58
66,58
64,64
52,52
24,24
59,59
35,35
25,25
13,89
18,18
20,20
64,64
21,21
13,13
19,19
3,3
34,93
96,27
54,54
53,26
38,38
37,52
62,62
46,46
11,11
53,83
97,97
3,3
4,7
43,62
89,20
90,90
44,44
63,63
11,11
63,63
96,96
46,28
74,74
70,70
86,7
15,53
93,93
34,34
29,29
63,63
2,2
29,29
95,95
41,90
37,14
85,12
63,74
95,53
49,49
21,47
68,85
68,77
98,98
67,67
55,54
83,83
63,63
44,44
20,20
44,44
14,14
58,58
76,76
22,22
82,82
68,68
54,19
36,36
39,39
20,97
14,68
25,25
97,97
56,56
64,64
56,56
84,84
85,85
19,19
57,57
4,4
76,53
67,86
63,63
3,3
88,58
76,76
35,35
21,82
18,18
14,14
89,89
33,21
72,72
5,5
17,17
67,19
76,76
1,58
58,58
61,61
48,48
80,80
76,76
22,22
85,85
63,36
51,51
37,37
67,74
29,29
47,21
60,60
38,89
76,83
92,92
25,25
71,71
18,44
39,39
64,64
27,86
18,72
42,42
83,80
92,92
68,68
67,67
40,40
41,19
18,52
51,51
85,85
84,84
39,39
60,10
90,90
58,58
35,19
62,87
83,51
39,39
47,47
46,46
61,71
59,59
99,10
47,7
64,55
8,38
27,35
69,69
81,25
78,78
56,63
49,87
64,86
84,30
90,91
28,28
72,63
22,22
79,79
8,98
56,59
18,18
32,94
5,56
5,5
2,97
73,73
67,67
76,76
49,49
83,83
17,17
13,62
4,12
58,58
16,16
53,90
61,61
79,79
84,84
41,41
58,58
58,58
40,47
23,23
33,67
30,30
29,29
29,29
51,51
54,54
43,43
76,76
36,36
63,63
16,16
23,23
44,44
43,43
32,62
28,28
46,93
78,78
99,99
43,43
3,3
95,95
63,63
27,27
2,5
92,98
46,46
89,89
67,58
88,88
1,1
56,88
38,30
16,83
29,21
44,44
74,74
87,87
78,76
96,35
56,56
68,16
49,71
9,9
95,45
85,85
55,55
2,2
51,51
34,27
66,66
55,1
53,53
69,69
38,38
98,98
74,93
75,75
0,0
58,58
80,39
38,14
16,16
38,38
74,74
4,51
13,56
71,71
39,39
55,98
37,37
4,31
53,96
96,96
48,48
84,26
35,64
99,99
68,10
79,79
72,72
94,92
96,96
77,77
77,77
38,36
9,9
37,37
72,48
87,10
75,20
80,80
59,59
62,62
65,16
8,8
67,27
40,40
97,97
32,32
52,52
14,42
42,12
41,31
37,37
87,59
39,39
53,98
73,55
59,59
77,81
73,73
70,70
16,16
68,68
55,55
32,26
99,15
87,87
70,13
1,1
35,35
73,23
28,28
78,78
62,62
22,22
94,94
15,15
0,0
97,97
81,14
53,53
98,98
35,46
28,28
69,69
97,97
28,28
67,54
64,88
34,34
70,70
45,45
75,75
73,73
30,96
71,14
80,80
63,78
85,85
49,4
43,46
6,90
78,78
20,20
89,89
74,74
25,25
11,88
91,91
99,74
82,82
23,52
14,14
21,92
56,58
86,86
19,19
71,29
47,47
14,38
77,71
58,60
55,91
8,8
40,94
71,71
42,33
0,51
97,0
10,10
41,0
53,62
72,72
32,32
12,12
63,98
84,7
4,16
91,89
83,37
51,51
85,85
2,2
45,71
3,3
76,76
63,30
34,59
61,85
17,22
4,4
99,4
21,5
3,63
60,60
32,13
79,79
7,43
60,18
76,76
76,34
63,18
97,34
40,40
27,27
80,80
13,13
33,49
45,31
77,77
41,41
71,71
53,78
55,67
73,73
65,15
31,44
4,95
40,40
70,70
22,23
34,34
2,44
52,52
18,56
87,29
66,66
20,20
70,70
53,53
20,20
99,99
33,68
76,55
3,3
46,46
54,22
49,49
40,40
69,95
38,73
35,35
9,62
75,10
32,32
58,58
31,80
35,35
53,85
79,79
90,90
62,21
75,75
24,2
91,91
3,13
55,55
35,72
91,82
89,89
64,64
66,66
7,7
73,73
61,24
79,79
56,56
68,68
20,40
58,98
5,5
88,98
48,84
52,52
90,90
59,63
15,1
77,77
1,1
61,74
68,68
29,98
42,89
28,28
15,15
66,47
28,28
94,3
57,57
80,80
36,26
34,34
32,32
83,45
94,11
41,41
38,62
13,35
64,64
47,47
95,27
95,46
15,15
3,15
9,70
51,36
52,52
20,20
10,10
83,83
33,20
26,26
73,73
19,24
52,35
90,90
65,17
71,99
68,68
53,33
36,61
31,31
33,51
4,4
28,18
64,64
63,63
70,70
84,31
78,78
64,19
82,82
78,78
6,67
7,33
29,8
9,6
11,93
8,34
50,50
4,4
83,52
81,81
76,76
62,62
27,27
33,33
7,7
87,87
7,30
27,27
23,23
45,45
45,45
15,49
76,80
58,58
58,58
43,91
61,61
29,29
63,63
18,18
11,74
98,98
19,19
75,75
7,26
10,10
23,23
64,64
24,24
88,88
5,24
64,9
83,83
71,76
13,13
30,30
79,21
99,26
36,36
98,89
55,55
38,38
1,89
45,95
21,21
12,12
92,92
43,43
47,47
52,52
34,34
87,87
7,7
8,14
12,12
23,23
98,98
61,61
99,77
54,54
22,33
0,0
89,89
44,35
30,30
71,71
77,77
13,13
77,77
79,44
97,97
29,29
31,95
99,99
39,68
90,90
61,61
4,4
99,69
15,15
51,51
82,82
87,45
59,43
28,28
86,86
80,80
84,26
95,95
32,32
37,37
28,96
73,98
78,82
47,61
26,26
72,72
89,89
80,80
0,0
79,24
86,65
81,81
88,71
58,83
91,95
63,53
82,82
75,75
60,60
18,18
81,81
35,35
66,0
89,89
24,24
46,46
16,50
35,59
22,90
30,83
99,99
53,53
27,27
26,26
77,77
73,73
99,59
65,65
55,52
94,94
14,71
42,41
44,44
30,22
26,26
81,81
55,82
9,9
88,88
33,33
15,10
7,7
50,50
68,42
57,5
10,41
10,98
12,12
16,16
11,11
53,10
77,77
19,19
84,84
60,60
99,50
54,54
85,87
78,78
20,20
30,30
14,3
29,48
43,43
50,91
57,57
26,22
81,56
20,53
51,51
92,13
85,29
89,89
33,29
96,96
30,30
29,29
93,93
84,46
91,91
17,17
55,63
19,19
26,26
92,92
74,74
31,9
41,49
78,78
4,0
77,59
33,16
56,56
31,31
75,70
80,80
86,86
7,7
94,82
11,42
26,26
55,55
17,28
55,46
82,82
34,36
79,47
1,47
90,90
45,45
22,74
74,74
14,14
22,89
62,70
74,74
58,89
28,28
90,69
52,52
91,91
36,36
35,35
40,40
0,41
76,76
67,67
78,78
61,8
97,97
48,28
35,61
36,1
70,70
10,53
69,6
4,4
72,36
64,64
17,17
88,10
36,36
7,7
71,92
88,65
69,69
55,55
85,85
83,83
40,40
80,80
90,90
82,82
14,48
59,59
38,31
24,24
97,97
40,58
79,38
88,70
39,39
